Date,SP.rk
20031106,3.97E-05
20031107,5.15E-05
20031110,2.40E-05
20031111,2.10E-05
20031112,2.44E-05
20031113,3.11E-05
20031114,5.28E-05
20031115,
20031117,7.97E-05
20031118,6.19E-05
20031119,4.03E-05
20031120,8.44E-05
20031121,5.26E-05
20031124,5.48E-05
20031125,3.45E-05
20031126,4.09E-05
20031127,
20031128,7.74E-06
20031201,5.21E-05
20031202,2.74E-05
20031203,4.51E-05
20031204,3.41E-05
20031205,4.62E-05
20031208,2.60E-05
20031209,4.25E-05
20031210,3.47E-05
20031211,3.51E-05
20031212,3.08E-05
20031215,9.28E-05
20031216,3.66E-05
20031217,2.24E-05
20031218,1.98E-05
20031219,3.51E-05
20031222,2.23E-05
20031223,1.91E-05
20031224,9.85E-06
20031225,
20031226,6.44E-06
20031229,2.56E-05
20031230,1.33E-05
20031231,2.37E-05
20040101,
20040102,4.25E-05
20040105,4.89E-05
20040106,1.98E-05
20040107,3.01E-05
20040108,2.87E-05
20040109,6.84E-05
20040112,
20040113,
20040114,2.23E-05
20040115,5.32E-05
20040116,4.13E-05
20040119,
20040120,2.63E-05
20040121,3.51E-05
20040122,3.54E-05
20040123,4.35E-05
20040126,3.09E-05
20040127,3.31E-05
20040128,0.000104877
20040129,8.33E-05
20040130,4.60E-05
20040202,8.28E-05
20040203,3.51E-05
20040204,6.92E-05
20040205,3.82E-05
20040206,4.25E-05
20040209,1.71E-05
20040210,2.65E-05
20040211,5.17E-05
20040212,2.28E-05
20040213,4.42E-05
20040216,
20040217,5.51E-05
20040218,1.97E-05
20040219,6.14E-05
20040220,5.00E-05
20040223,3.52E-05
20040224,5.03E-05
20040225,2.33E-05
20040226,2.31E-05
20040227,3.42E-05
20040301,3.65E-05
20040302,3.87E-05
20040303,2.79E-05
20040304,1.17E-05
20040305,9.52E-05
20040308,2.34E-05
20040309,4.94E-05
20040310,5.45E-05
20040311,0.000126079
20040312,6.72E-05
20040315,8.36E-05
20040316,0.000103379
20040317,3.73E-05
20040318,6.07E-05
20040319,4.08E-05
20040322,0.000110666
20040323,7.37E-05
20040324,8.21E-05
20040325,6.60E-05
20040326,3.28E-05
20040329,6.13E-05
20040330,2.77E-05
20040331,3.97E-05
20040401,2.97E-05
20040402,0.000121027
20040405,1.60E-05
20040406,3.14E-05
20040407,3.67E-05
20040408,8.12E-05
20040409,
20040412,2.37E-05
20040413,4.92E-05
20040414,7.07E-05
20040415,6.20E-05
20040416,3.36E-05
20040417,
20040419,2.04E-05
20040420,4.67E-05
20040421,6.35E-05
20040422,6.06E-05
20040423,3.13E-05
20040426,4.07E-05
20040427,5.03E-05
20040428,5.64E-05
20040429,0.000101387
20040430,8.56E-05
20040503,4.99E-05
20040504,9.05E-05
20040505,4.32E-05
20040506,6.90E-05
20040507,9.77E-05
20040510,0.000149315
20040511,4.58E-05
20040512,0.000133783
20040513,7.64E-05
20040514,9.06E-05
20040517,0.000164326
20040518,4.22E-05
20040519,9.23E-05
20040520,3.83E-05
20040521,5.49E-05
20040524,5.38E-05
20040525,5.40E-05
20040526,3.17E-05
20040527,4.92E-05
20040528,1.80E-05
20040531,
20040601,3.47E-05
20040602,3.06E-05
20040603,3.39E-05
20040604,6.46E-05
20040607,3.48E-05
20040608,2.61E-05
20040609,2.35E-05
20040610,1.49E-05
20040611,
20040614,3.43E-05
20040615,5.81E-05
20040616,1.41E-05
20040617,1.90E-05
20040618,2.88E-05
20040621,1.91E-05
20040622,3.22E-05
20040623,2.20E-05
20040624,1.96E-05
20040625,1.98E-05
20040628,5.40E-05
20040629,1.76E-05
20040630,3.17E-05
20040701,5.35E-05
20040702,3.14E-05
20040705,
20040706,3.22E-05
20040707,2.11E-05
20040708,4.70E-05
20040709,3.99E-05
20040712,3.51E-05
20040713,1.03E-05
20040714,6.25E-05
20040715,2.99E-05
20040716,4.53E-05
20040719,4.24E-05
20040720,3.45E-05
20040721,5.64E-05
20040722,8.34E-05
20040723,5.68E-05
20040726,7.92E-05
20040727,4.76E-05
20040728,7.69E-05
20040729,5.57E-05
20040730,3.45E-05
20040802,3.82E-05
20040803,2.73E-05
20040804,4.81E-05
20040805,5.02E-05
20040806,0.000109492
20040809,2.85E-05
20040810,4.86E-05
20040811,0.00010951
20040812,5.14E-05
20040813,4.65E-05
20040816,4.43E-05
20040817,3.11E-05
20040818,4.49E-05
20040819,3.45E-05
20040820,2.53E-05
20040823,2.08E-05
20040824,3.36E-05
20040825,2.35E-05
20040826,1.49E-05
20040827,1.03E-05
20040830,1.73E-05
20040831,2.81E-05
20040901,5.29E-05
20040902,2.18E-05
20040903,2.69E-05
20040906,
20040907,5.18E-05
20040908,2.15E-05
20040909,2.99E-05
20040910,2.67E-05
20040913,1.37E-05
20040914,1.59E-05
20040915,2.12E-05
20040916,1.23E-05
20040917,2.46E-05
20040920,3.72E-05
20040921,1.79E-05
20040922,5.59E-05
20040923,2.74E-05
20040924,1.95E-05
20040927,2.41E-05
20040928,2.85E-05
20040929,1.94E-05
20040930,2.66E-05
20041001,3.86E-05
20041004,3.65E-05
20041005,1.58E-05
20041006,1.68E-05
20041007,1.76E-05
20041008,2.68E-05
20041009,
20041011,1.36E-05
20041013,5.50E-05
20041014,2.90E-05
20041015,5.61E-05
20041018,3.90E-05
20041019,3.59E-05
20041020,5.60E-05
20041021,5.43E-05
20041022,3.71E-05
20041025,5.08E-05
20041026,3.69E-05
20041027,4.82E-05
20041028,3.72E-05
20041029,2.56E-05
20041101,2.00E-05
20041102,4.72E-05
20041103,0.00018127
20041104,3.77E-05
20041105,4.16E-05
20041108,1.92E-05
20041109,2.09E-05
20041110,2.54E-05
20041111,2.27E-05
20041112,1.80E-05
20041115,2.58E-05
20041116,2.51E-05
20041117,4.60E-05
20041118,1.72E-05
20041119,3.61E-05
20041122,2.26E-05
20041123,3.06E-05
20041124,2.24E-05
20041125,
20041126,7.70E-06
20041129,5.51E-05
20041130,3.62E-05
20041201,3.09E-05
20041202,3.22E-05
20041203,4.72E-05
20041206,2.24E-05
20041207,3.66E-05
20041208,2.71E-05
20041209,4.74E-05
20041210,3.19E-05
20041213,4.16E-05
20041214,1.83E-05
20041215,2.53E-05
20041216,2.99E-05
20041217,4.54E-05
20041220,4.42E-05
20041221,2.47E-05
20041222,1.92E-05
20041223,1.06E-05
20041224,
20041227,2.76E-05
20041228,1.85E-05
20041229,8.62E-06
20041230,5.55E-06
20041231,9.33E-06
20050103,5.15E-05
20050104,5.14E-05
20050105,4.54E-05
20050106,3.77E-05
20050107,4.32E-05
20050110,3.26E-05
20050111,4.06E-05
20050112,5.35E-05
20050113,3.36E-05
20050114,2.77E-05
20050117,
20050118,3.23E-05
20050119,2.24E-05
20050120,5.37E-05
20050121,3.73E-05
20050124,4.62E-05
20050125,3.94E-05
20050126,3.53E-05
20050127,2.86E-05
20050128,3.12E-05
20050131,5.99E-05
20050201,1.38E-05
20050202,2.11E-05
20050203,2.56E-05
20050204,1.77E-05
20050207,1.22E-05
20050208,1.41E-05
20050209,2.73E-05
20050210,2.50E-05
20050211,3.80E-05
20050214,7.70E-06
20050215,1.58E-05
20050216,2.16E-05
20050217,2.59E-05
20050218,1.78E-05
20050221,
20050222,4.79E-05
20050223,3.57E-05
20050224,3.56E-05
20050225,2.55E-05
20050228,3.19E-05
20050301,3.11E-05
20050302,5.12E-05
20050303,3.63E-05
20050304,4.64E-05
20050307,2.07E-05
20050308,2.26E-05
20050309,3.72E-05
20050310,3.43E-05
20050311,3.75E-05
20050314,2.49E-05
